,date,link,model,nb_replies,nb_views,title,user
0,latest reply 8 minutes ago                             by MrBill3,/thread/8243308,iphone_X,1 reply,14 views,My apple care taking 4 days to register,asked by grahammiranda
1,11 minutes ago,/thread/8243769,iphone_X,0 replies,1 view,iPhone iOS 11 Blank Lock Screen,asked by aptmnt8
2,30 minutes ago,/thread/8243767,iphone_X,0 replies,5 views,battery usage and standby info is empty,asked by waquirazy
3,latest reply 3 hours ago                             by bmxsuperhero,/thread/8153750,iphone_X,42 replies,"5,175 views",iPhone X Lock Screen features disappear,asked by studio b
4,latest reply 9 hours ago                             by nahomfromherzliya,/thread/8243187,iphone_X,2 replies,22 views,Proximity sensor on iPhonex,asked by amaksoud
5,latest reply 17 hours ago                             by Theinfamousmc,/thread/8226631,iphone_X,8 replies,117 views,Wireless charging while iPhone X is powered off?,asked by mikenitso
6,latest reply 2 days ago                             by Michael Black,/thread/8240892,iphone_X,2 replies,29 views,How do I know if all my iPhones speakers work?,asked by TheFish2020
7,latest reply 1 day ago                             by Jais23,/thread/8163586,iphone_X,8 replies,363 views,Does the iPhone X have a proximity sensor,asked by sydhv
8,latest reply 1 day ago                             by Csound1,/thread/8221872,iphone_X,11 replies,316 views,Lightning Cord Headphones Short Out In Cold Weather / Skiing / Snowboarding,asked by Joe_md
9,1 day ago,/thread/8241711,iphone_X,0 replies,21 views,iPhone X Crash/Heats Up after Update to 11.2.2,asked by TianoPh
10,latest reply 1 day ago                             by One of Three,/thread/8163518,iphone_X,4 replies,88 views,iPhone X Really Laggy,asked by SkooterUSA
11,1 day ago,/thread/8241552,iphone_X,0 replies,17 views,iPhone X Earpiece Microphone,asked by Simos805
12,latest reply 1 day ago                             by Steffenpeders1,/thread/8152176,iphone_X,98 replies,"5,546 views",iPhone X speaker issue,asked by drew893
13,latest reply 1 day ago                             by ZhuPengPeng,/thread/8146714,iphone_X,9 replies,"2,931 views",iPhone X Earpiece not working on phone calls,asked by 33Kappl
